County,County Rank,Cards Cast,Eligible Voters,Percent of Voters,Turnout Difference
Allegany,6,"7,880","37,946",0.207663522,0.040863522
Anne Arundel,11,"57,241","301,320",0.189967476,0.023167476
Baltimore City,23,"50,812","406,947",0.124861468,-0.041938532
Baltimore County,15,"80,190","444,288",0.180491033,0.013691033
Calvert,2,"12,165","51,996",0.233960305,0.067160305
Caroline,12,"3,260","17,193",0.189612051,0.022812051
Carroll,9,"19,188","96,675",0.198479441,0.031679441
Cecil,24,"9,176","73,817",0.124307409,-0.042492591
Charles,17,"17,884","100,660",0.177667395,0.010867395
Dorchester,1,"4,612","19,132",0.241062095,0.074262095
Frederick,19,"32,415","206,966",0.156619928,-0.010180072
Garrett,4,"3,945","17,365",0.227181111,0.060381111
Harford,13,"33,409","180,756",0.184829273,0.018029273
Howard,8,"33,909","170,556",0.198814466,0.032014466
Kent,3,"2,553","11,113",0.229730946,0.062930946
Montgomery,20,"109,300","701,022",0.155915221,-0.010884779
Prince George's,21,"78,723","525,941",0.149680287,-0.017119713
Queen Anne's,22,"6,118","41,953",0.145829857,-0.020970143
Saint Mary's,18,"10,016","58,439",0.171392392,0.004592392
Somerset,7,"2,684","13,494",0.198903216,0.032103216
Talbot,5,"4,746","22,053",0.215208815,0.048408815
Washington,14,"18,922","103,251",0.183262148,0.016462148
Wicomico,16,"9,005","49,894",0.180482623,0.013682623
Worcester,10,"6,692","33,718",0.198469660,0.031669660
